MAL63_136	NA
MATA1_1012	NA
MATA1_1225	NA
MATA1_1740	NA
MATA1_608	NA
MATA1-MATALPHA2-dimer_1435	NA
MATA1-MATALPHA2-dimer_1436	NA
MATA1-MATALPHA2-dimer_1437	NA
MATALPHA1-MCM1-dimer_1442	NA
MBP1-SWI6-dimer_1542	NA
Oaf1-Pip2-dimer_1433.1	NA
Oaf1-Pip2-dimer_1433.2	NA
Oaf1-Pip2-dimer_1433.3	NA
Oaf1-Pip2-dimer_1433.4	NA
Oaf1-Pip2-dimer_1433.5	NA
TBP-TFIIA_1328	NA
TBP-TFIIA-TFIIB_1330	NA
TBP-TFIIB_1329	NA
TFIIIC_1430	NA
YAL051W_1048	OAF1
YAL051W_1837	OAF1
YAL051W_2060	OAF1
YAL051W_2149	OAF1
YAL051W_2219	OAF1
YAL051W_482	OAF1
YAL051W_867	OAF1
YBL005W_1053	PDR3
YBL005W_1385	PDR3
YBL005W_1386	PDR3
YBL005W_1387	PDR3
YBL005W_1584	PDR3
YBL005W_1841	PDR3
YBL005W_2049	PDR3
YBL005W_2062	PDR3
YBL005W_2083	PDR3
YBL005W_2105	PDR3
YBL005W_232	PDR3
YBL005W_235	PDR3
YBL005W_240	PDR3
YBL005W_650	PDR3
YBL008W_1214	HIR1
YBL008W_1795	HIR1
YBL008W_988	HIR1
YBL021C_1211	HAP3
YBL021C_1536	HAP3
YBL021C_1592	HAP3
YBL021C_1792	HAP3
YBL021C_699	HAP3
YBL021C_982	HAP3
YBL054W_1918	TOD6
YBL054W_2150	TOD6
YBL054W_2220	TOD6
YBL054W_495	TOD6
YBL054W_852	TOD6
YBL103C_1094	RTG3
YBL103C_1095	RTG3
YBL103C_1096	RTG3
YBL103C_1097	RTG3
YBL103C_1254	RTG3
YBL103C_1445	RTG3
YBL103C_1446	RTG3
YBL103C_1562	RTG3
YBL103C_1704	RTG3
YBL103C_1705	RTG3
YBL103C_1706	RTG3
YBL103C_1707	RTG3
YBL103C_1866	RTG3
YBL103C_2166	RTG3
YBL103C_602	RTG3
YBL103C_870	RTG3
YBR033W_1770	EDS1
YBR033W_2093	EDS1
YBR033W_517	EDS1
YBR033W_954	EDS1
YBR049C_1072	REB1
YBR049C_1073	REB1
YBR049C_1244	REB1
YBR049C_1309	REB1
YBR049C_1391	REB1
YBR049C_1392	REB1
YBR049C_1393	REB1
YBR049C_1447	REB1
YBR049C_1556	REB1
YBR049C_1689	REB1
YBR049C_1690	REB1
YBR049C_1853	REB1
YBR049C_2053	REB1
YBR049C_407	REB1
YBR049C_540	REB1
